"UNLOCODE","NOMLOCALITAT","ISOPAIS","NOMPAIS","AREGEOGRAFICA","NOMAREAGEOGRAFICA"
"CAVAN","Vancouver","CA","Canada","16","North America (Pacific)"
"CAVIC","Victoria","CA","Canada","16","North America (Pacific)"
"CAVIH","Victoria Harbour                   ","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CAVLF","Valleyfield","CA","Canada","14","Canada (Atlantic) and Great Lakes"
"CAVOB","Voisey's Bay                       ","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CAWEL","Welland","CA","Canada","14","Canada (Atlantic) and Great Lakes"
"CAWHH","Whiffen Head                       ","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CAWHI","Whitby","CA","Canada","14","Canada (Atlantic) and Great Lakes"
"CAWIG","Wingham                            ","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CAWLT","Walton","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CAWND","Windsor","CA","Canada","14","Canada (Atlantic) and Great Lakes"
"CAWNP","Winnipeg","CA","Canada","14","Canada (Atlantic) and Great Lakes"
"CAWOO","Woodfibre","CA","Canada","16","North America (Pacific)"
"CAWTN","Walton","CA","Canada","14","Canada (Atlantic) and Great Lakes"
"CAWTO","Westport","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CAWVR","West Vancouver                     ","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CAWWO","Wildwood                           ","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CAXJH","Saint-Joseph-de-Beauce             ","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CAYJT","Stephenville","CA","Canada","14","Canada (Atlantic) and Great Lakes"
"CAYME","Matane","CA","Canada","14","Canada (Atlantic) and Great Lakes"
"CAYQI","Yarmouth","CA","Canada","14","Canada (Atlantic) and Great Lakes"
"CAZCR","St-Charles-sur-Richelieu           ","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CAZEB","Zeballos","CA","Canada","16","North America (Pacific)"
"CAZFT","Forest                             ","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CAZMT","Masset","CA","Canada","16","North America (Pacific)"
"CAZTI","Saint Tite                         ","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CAZYE","Yamachiche                         ","CA","Canada","ZZ","Unknown area (Tare of empty containers)"
"CDBNW","Banana","CD","Congo Kinshasa","11","West Africa"
"CDBOA","Boma","CD","Congo Kinshasa","11","West Africa"
"CDFIH","Kinshasa","CD","Congo Kinshasa","11","West Africa"
"CDMAT","Matadi","CD","Congo Kinshasa","11","West Africa"
"CDMHB","Moho Bilondo                       ","CD","Congo Kinshasa","11","West Africa"
"CDMKL","Makala","CD","Congo Kinshasa","11","West Africa"
"CFTOG","Togo                               ","CF","Central African Republic","ZZ","Unknown area (Tare of empty containers)"
"CGDJE","Djeno Terminal","CG","Congo Brazzaville","11","West Africa"
"CGMOS","Mossaka","CG","Congo Brazzaville","11","West Africa"
"CGNKO","N'Kossa Terminal                   ","CG","Congo Brazzaville","11","West Africa"
"CGOUE","Ouesso","CG","Congo Brazzaville","11","West Africa"
"CGOYO","Oyo","CG","Congo Brazzaville","11","West Africa"
"CGPNR","Pointe Noire","CG","Congo Brazzaville","11","West Africa"
"CHBIB","Biberist                           ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHBIR","Birrwil                            ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHBRU","Brunnen                            ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHBRZ","Bad Ragaz                          ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHBSL","Basel","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHBUR","Bursinel                           ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHCHE","Chevenez                           ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHCHS","Chesieres                          ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHCOP","Coppet                             ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHCVT","Couvet                             ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHDOT","Dottingen                          ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHDSF","Epalinges                          ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHEPS","Epesses                            ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHERB","Erlenbach                          ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHFEM","Feldmeilen                         ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHFLA","Flasch                             ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHGTT","Guttingen                          ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHHBG","Herrliberg                         ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHHHM","Cham                               ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHHTE","Hauterive                          ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHKRZ","Kreuzlingen","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHKSS","Kussnacht                          ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHLDO","Le Landeron                        ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHLLU","Le Lieu                            ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHMAU","Maur                               ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHMDF","Mannedorf                          ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHMLN","Meilen                             ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHMWA","Meisterschwanden                   ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHNDB","Niederbipp                         ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHNEF","Nafels                             ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHODB","Oberried am Brienzersee            ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHPOR","Porto Ronco                        ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHRGU","Klingnau                           ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHRMH","Romanshorn                         ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHRNB","Reichenbach                        ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHRRN","Raron                              ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHSAS","St Aubin-Sauges                    ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHSEN","Schenkon                           ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHSMK","Schmerikon                         ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHSTA","Stansstad                          ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHSTI","Steinhausen                        ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHTAN","Twann                              ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHTZE","Utzenstorf                         ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHUKS","Uetikon am See                     ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHVAU","Vaumarcus                          ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHVSX","Versoix                            ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHVZU","Vitznau                            ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHWCW","Walchwil                           ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CHWLO","Wurenlos                           ","CH","Switzerland","02","Italy/France (Mediterranean)"
"CIABJ","Abidjan","CI","Cote d'Ivoire","11","West Africa"
"CIASS","Assinie","CI","Cote d'Ivoire","11","West Africa"
"CIBAO","Baobab Terminal                    ","CI","Cote d'Ivoire","11","West Africa"
"CIBBE","Boubele","CI","Cote d'Ivoire","11","West Africa"
"CIDAB","Dabou                              ","CI","Cote d'Ivoire","11","West Africa"
"CIESP","Espoir                             ","CI","Cote d'Ivoire","11","West Africa"
"CIFRE","Fresco","CI","Cote d'Ivoire","11","West Africa"
"CIGBA","Gbabam","CI","Cote d'Ivoire","11","West Africa"
"CIGLU","Grand Lahou","CI","Cote d'Ivoire","11","West Africa"
"CIJAB","Jabou","CI","Cote d'Ivoire","11","West Africa"
"CIJAC","Jacqueville","CI","Cote d'Ivoire","11","West Africa"
"CIKOS","Kosagi","CI","Cote d'Ivoire","11","West Africa"
"CIPBT","Port-Bouet","CI","Cote d'Ivoire","11","West Africa"
"CISPY","San-Pedro","CI","Cote d'Ivoire","11","West Africa"
"CIZSS","Sassandra","CI","Cote d'Ivoire","11","West Africa"
"CKAIT","Aitutaki","CK","Cook Islands","09","Australia, New Zealand/Pacific Islands"
"CKAIU","Atiu","CK","Cook Islands","09","Australia, New Zealand/Pacific Islands"
"CKARU","Arutunga","CK","Cook Islands","09","Australia, New Zealand/Pacific Islands"
"CKMGS","Mangaia","CK","Cook Islands","09","Australia, New Zealand/Pacific Islands"
"CKMOI","Mitiaro Island","CK","Cook Islands","09","Australia, New Zealand/Pacific Islands"
"CKRAR","Rarotonga","CK","Cook Islands","09","Australia, New Zealand/Pacific Islands"
"CLACH","Achao                              ","CL","Chile","19","South America (Pacific)"
"CLANF","Antofagasta","CL","Chile","19","South America (Pacific)"
"CLARA","Arauco                             ","CL","Chile","19","South America (Pacific)"
"CLARI","Arica","CL","Chile","19","South America (Pacific)"
"CLAYA","Ayacara                            ","CL","Chile","19","South America (Pacific)"
"CLBAG","Bahia San Gregorio","CL","Chile","19","South America (Pacific)"
"CLBAR","Barquito","CL","Chile","19","South America (Pacific)"
"CLCAA","Calderilla                         ","CL","Chile","19","South America (Pacific)"
"CLCAL","Caleta Patillos","CL","Chile","19","South America (Pacific)"
"CLCBC","Calbuco                            ","CL","Chile","19","South America (Pacific)"
"CLCCA","Chacao","CL","Chile","19","South America (Pacific)"
"CLCCP","Concepcion","CL","Chile","19","South America (Pacific)"
"CLCDV","Curaco de Velez                    ","CL","Chile","19","South America (Pacific)"
"CLCGR","Cruz Grande","CL","Chile","19","South America (Pacific)"
"CLCHB","Chacabuco","CL","Chile","19","South America (Pacific)"
"CLCHI","Chiguayante                        ","CL","Chile","19","South America (Pacific)"
"CLCHO","Chonchi                            ","CL","Chile","19","South America (Pacific)"
"CLCHR","Cabo de Hornos                     ","CL","Chile","19","South America (Pacific)"
"CLCIS","Puerto Cisnes                      ","CL","Chile","19","South America (Pacific)"
"CLCLD","Caldera","CL","Chile","19","South America (Pacific)"
"CLCLR","Caleta Clarencia","CL","Chile","19","South America (Pacific)"
"CLCNL","Coronel","CL","Chile","19","South America (Pacific)"
"CLCNR","Chanaral","CL","Chile","19","South America (Pacific)"
"CLCNX","Cabo Negro","CL","Chile","19","South America (Pacific)"
"CLCOL","Caleta Coloso                      ","CL","Chile","19","South America (Pacific)"
"CLCPO","Copiapo","CL","Chile","19","South America (Pacific)"
"CLCQQ","Coquimbo","CL","Chile","19","South America (Pacific)"
"CLCRH","Carahue                            ","CL","Chile","19","South America (Pacific)"
"CLCRR","Corral","CL","Chile","19","South America (Pacific)"
"CLCST","Constitucion                       ","CL","Chile","19","South America (Pacific)"
"CLDCH","Dalcahue","CL","Chile","19","South America (Pacific)"
"CLEDE","Puerto Eden","CL","Chile","19","South America (Pacific)"
"CLGUA","Guaitecas                          ","CL","Chile","19","South America (Pacific)"
"CLGUR","Isla Guarello","CL","Chile","19","South America (Pacific)"
"CLGYC","Guayacan","CL","Chile","19","South America (Pacific)"
"CLHSO","Huasco","CL","Chile","19","South America (Pacific)"
"CLHUH","Hualaihue                          ","CL","Chile","19","South America (Pacific)"
"CLIPC","Isla de Pascua","CL","Chile","19","South America (Pacific)"
"CLIQQ","Iquique","CL","Chile","19","South America (Pacific)"
"CLISG","Isla Guarello","CL","Chile","19","South America (Pacific)"
"CLJFZ","Juan Fernandez                     ","CL","Chile","19","South America (Pacific)"
"CLKNA","Vina del Mar","CL","Chile","19","South America (Pacific)"
"CLLEB","Lebu","CL","Chile","19","South America (Pacific)"
"CLLIA","Llanquihue","CL","Chile","19","South America (Pacific)"
"CLLLI","Llico                              ","CL","Chile","19","South America (Pacific)"
"CLLOS","Los Vilos","CL","Chile","19","South America (Pacific)"
"CLLQN","Lirquen","CL","Chile","19","South America (Pacific)"
"CLLSC","La Serena","CL","Chile","19","South America (Pacific)"
"CLLTA","Lota","CL","Chile","19","South America (Pacific)"
"CLLVT","Los Vientos","CL","Chile","19","South America (Pacific)"
"CLMIC","Michilla                           ","CL","Chile","19","South America (Pacific)"
"CLMJS","Mejillones","CL","Chile","19","South America (Pacific)"
"CLMLI","Melinka                            ","CL","Chile","19","South America (Pacific)"
"CLMLL","Maullin                            ","CL","Chile","19","South America (Pacific)"
"CLNAL","Nueva Aldea                        ","CL","Chile","19","South America (Pacific)"
"CLOHI","O'Higgins                          ","CL","Chile","19","South America (Pacific)"
"CLOVL","Ovalle","CL","Chile","19","South America (Pacific)"
"CLPAG","Puerto Angamos","CL","Chile","19","South America (Pacific)"
"CLPAN","Panguipulli                        ","CL","Chile","19","South America (Pacific)"
"CLPAT","Puerto Patache                     ","CL","Chile","19","South America (Pacific)"
"CLPCH","Puerto Chacabuco                   ","CL","Chile","19","South America (Pacific)"
"CLPEO","Penco","CL","Chile","19","South America (Pacific)"
"CLPGA","Pargua                             ","CL","Chile","19","South America (Pacific)"
"CLPIS","Pisagua","CL","Chile","19","South America (Pacific)"
"CLPMC","Puerto Montt","CL","Chile","19","South America (Pacific)"
"CLPNT","Puerto Natales","CL","Chile","19","South America (Pacific)"
"CLPOC","Puerto Octay                       ","CL","Chile","19","South America (Pacific)"
"CLPOS","Posesion                           ","CL","Chile","19","South America (Pacific)"
"CLPPY","Puerto Percy","CL","Chile","19","South America (Pacific)"
"CLPQD","Puqueldon                          ","CL","Chile","19","South America (Pacific)"
"CLPTC","Punta Chungo","CL","Chile","19","South America (Pacific)"
"CLPTE","Quellon (Puerto Quellon)","CL","Chile","19","South America (Pacific)"
"CLPTI","Patillos","CL","Chile","19","South America (Pacific)"
"CLPUQ","Punta Arenas","CL","Chile","19","South America (Pacific)"
"CLPVS","Puerto Varas","CL","Chile","19","South America (Pacific)"
"CLQCO","Quinchao                           ","CL","Chile","19","South America (Pacific)"
"CLQLN","Queilen                            ","CL","Chile","19","South America (Pacific)"
"CLQMC","Quemchi","CL","Chile","19","South America (Pacific)"
"CLQTV","Quintero","CL","Chile","19","South America (Pacific)"
"CLQUV","Quellon Viejo                      ","CL","Chile","19","South America (Pacific)"
"CLRAF","Rauco                              ","CL","Chile","19","South America (Pacific)"
"CLSAA","Saavedra                           ","CL","Chile","19","South America (Pacific)"
"CLSAI","San Antonio","CL","Chile","19","South America (Pacific)"
"CLSVE","San Vicente","CL","Chile","19","South America (Pacific)"
"CLTAL","Talcahuano","CL","Chile","19","South America (Pacific)"
"CLTLX","Talca","CL","Chile","19","South America (Pacific)"
"CLTOM","Tome","CL","Chile","19","South America (Pacific)"
"CLTON","Tongoy                             ","CL","Chile","19","South America (Pacific)"
"CLTOQ","Tocopilla","CL","Chile","19","South America (Pacific)"
"CLTOR","Tortel                             ","CL","Chile","19","South America (Pacific)"
"CLTPT","Tres Puentes                       ","CL","Chile","19","South America (Pacific)"
"CLTTC","Taltal","CL","Chile","19","South America (Pacific)"
"CLVAP","Valparaiso","CL","Chile","19","South America (Pacific)"
"CLVIL","Villarrica                         ","CL","Chile","19","South America (Pacific)"
"CLVNT","Ventanas                           ","CL","Chile","19","South America (Pacific)"
"CLWCA","Castro","CL","Chile","19","South America (Pacific)"
"CLWCH","Chaiten","CL","Chile","19","South America (Pacific)"
"CLWPA","Puerto Aisen","CL","Chile","19","South America (Pacific)"
"CLWPU","Puerto Williams","CL","Chile","19","South America (Pacific)"
"CLZAL","Valdivia","CL","Chile","19","South America (Pacific)"
"CLZOS","Osorno","CL","Chile","19","South America (Pacific)"
"CLZUD","Ancud","CL","Chile","19","South America (Pacific)"
"CMDLA","Douala","CM","Cameroon","11","West Africa"
"CMGOU","Garoua","CM","Cameroon","11","West Africa"
"CMKBI","Kribi","CM","Cameroon","11","West Africa"
"CMKOL","Kole Terminal","CM","Cameroon","11","West Africa"
"CMLIM","Limbe","CM","Cameroon","11","West Africa"
"CMLIT","Limboh Terminal","CM","Cameroon","11","West Africa"
"CMMOU","Moudi Terminal","CM","Cameroon","11","West Africa"
"CMTKC","Tiko","CM","Cameroon","11","West Africa"
"CMVCC","Victoria","CM","Cameroon","11","West Africa"
"CNAIN","Huaiyin                            ","CN","China","08","Far East and Japan"
"CNAJG","Aojiang                            ","CN","China","08","Far East and Japan"
"CNANG","Huangxian                          ","CN","China","08","Far East and Japan"
"CNANQ","Anqing, Anhui","CN","China","08","Far East and Japan"
"CNANT","Anting","CN","China","08","Far East and Japan"
"CNAPP","Anpu                               ","CN","China","08","Far East and Japan"
"CNAQG","Anqing","CN","China","08","Far East and Japan"
"CNASW","Aoshanwei                          ","CN","China","08","Far East and Japan"
"CNBAH","Bahe                               ","CN","China","08","Far East and Japan"
"CNBAO","Baoshanmatou","CN","China","08","Far East and Japan"
"CNBAS","Basuo","CN","China","08","Far East and Japan"
"CNBAU","Baxu                               ","CN","China","08","Far East and Japan"
"CNBAY","Bayuquan","CN","China","08","Far East and Japan"
"CNBCG","Baiceng                            ","CN","China","08","Far East and Japan"
"CNBCO","Bacao                              ","CN","China","08","Far East and Japan"
"CNBDG","Badong                             ","CN","China","08","Far East and Japan"
"CNBEI","Beilun                             ","CN","China","08","Far East and Japan"
"CNBEN","Benxi                              ","CN","China","08","Far East and Japan"
"CNBHE","Buhe                               ","CN","China","08","Far East and Japan"
"CNBHP","Beihai Pt                          ","CN","China","08","Far East and Japan"
"CNBHT","Tieshan                            ","CN","China","08","Far East and Japan"
"CNBHX","Binhai","CN","China","08","Far East and Japan"
"CNBHY","Beihai","CN","China","08","Far East and Japan"
"CNBIC","Beicun","CN","China","08","Far East and Japan"
"CNBIH","Binhai","CN","China","08","Far East and Japan"
"CNBIJ","Beijiao","CN","China","08","Far East and Japan"
"CNBIT","Beitan","CN","China","08","Far East and Japan"
"CNBIY","Beiyao                             ","CN","China","08","Far East and Japan"
"CNBJX","Baoji                              ","CN","China","08","Far East and Japan"
"CNBLG","Beilianggang                       ","CN","China","08","Far East and Japan"
"CNBLI","Bali                               ","CN","China","08","Far East and Japan"
"CNBLO","Bailuo                             ","CN","China","08","Far East and Japan"
"CNBLX","Honghai Pt","CN","China","08","Far East and Japan"
"CNBMJ","Baimajing                          ","CN","China","08","Far East and Japan"
"CNBOA","Boao                               ","CN","China","08","Far East and Japan"
"CNBOE","Bohe","CN","China","08","Far East and Japan"
"CNBOH","Baoshan                            ","CN","China","08","Far East and Japan"
"CNBOT","Botang                             ","CN","China","08","Far East and Japan"
"CNBSD","Baoshan                            ","CN","China","08","Far East and Japan"
"CNBSE","Baise                              ","CN","China","08","Far East and Japan"
"CNBSI","Baishi                             ","CN","China","08","Far East and Japan"
"CNBYA","Bayan                              ","CN","China","08","Far East and Japan"
"CNBYG","Baiyang                            ","CN","China","08","Far East and Japan"
"CNBYN","Binyang                            ","CN","China","08","Far East and Japan"
"CNBYQ","Bayuquan","CN","China","08","Far East and Japan"
"CNBZG","Bozhong","CN","China","08","Far East and Japan"
"CNCAH","Changhua                           ","CN","China","08","Far East and Japan"
"CNCAN","Guangzhou","CN","China","08","Far East and Japan"
"CNCBG","Chen Barag                         ","CN","China","08","Far East and Japan"
"CNCBI","Chibi                              ","CN","China","08","Far East and Japan"
"CNCDE","Changde                            ","CN","China","08","Far East and Japan"
"CNCDH","Changdianhekou","CN","China","08","Far East and Japan"
"CNCFD","Caofeidian                         ","CN","China","08","Far East and Japan"
"CNCFF","Suidong                            ","CN","China","08","Far East and Japan"
"CNCGJ","Chongjin","CN","China","08","Far East and Japan"
"CNCGM","Chongming","CN","China","08","Far East and Japan"
"CNCGS","Changshu Pt","CN","China","08","Far East and Japan"
"CNCGW","Cangwu                             ","CN","China","08","Far East and Japan"
"CNCGZ","Chongzuo                           ","CN","China","08","Far East and Japan"
"CNCHE","Chengao","CN","China","08","Far East and Japan"
"CNCHI","Chifeng                            ","CN","China","08","Far East and Japan"
"CNCHQ","Chongqing Pt","CN","China","08","Far East and Japan"
"CNCHS","Chuanshan                          ","CN","China","08","Far East and Japan"
"CNCHU","Chaohu                             ","CN","China","08","Far East and Japan"
"CNCHX","Chengxi                            ","CN","China","08","Far East and Japan"
"CNCHY","Chaoyang                           ","CN","China","08","Far East and Japan"
"CNCHZ","Chuzhou","CN","China","08","Far East and Japan"
"CNCIG","Chenjiagang                        ","CN","China","08","Far East and Japan"
"CNCIV","Civet / Guandong                   ","CN","China","08","Far East and Japan"
"CNCIX","Cixi                               ","CN","China","08","Far East and Japan"
"CNCJA","Congjiang                          ","CN","China","08","Far East and Japan"
"CNCJG","Caojing","CN","China","08","Far East and Japan"
"CNCJI","Chengjiang                         ","CN","China","08","Far East and Japan"
"CNCKG","Chongqing","CN","China","08","Far East and Japan"
"CNCLJ","Chenglingji","CN","China","08","Far East and Japan"
"CNCMG","Chongming","CN","China","08","Far East and Japan"
"CNCNG","Chengde                            ","CN","China","08","Far East and Japan"
"CNCNX","Xinxu                              ","CN","China","08","Far East and Japan"
"CNCOZ","Chaozhou","CN","China","08","Far East and Japan"
"CNCPI","Changpingzhan","CN","China","08","Far East and Japan"
"CNCQI","Chongqing","CN","China","08","Far East and Japan"
"CNCSH","Chashan                            ","CN","China","08","Far East and Japan"
"CNCSJ","Changshou                          ","CN","China","08","Far East and Japan"
"CNCSL","Laiwu","CN","China","08","Far East and Japan"
"CNCSO","Changshou                          ","CN","China","08","Far East and Japan"
"CNCUM","Chumen                             ","CN","China","08","Far East and Japan"
"CNCUN","Chencun                            ","CN","China","08","Far East and Japan"
"CNCWN","Chiwan","CN","China","08","Far East and Japan"
"CNCYH","Cheyanghe                          ","CN","China","08","Far East and Japan"
"CNCZX","Changzhou","CN","China","08","Far East and Japan"
"CNDAA","Dagang","CN","China","08","Far East and Japan"
"CNDAG","Dangshan                           ","CN","China","08","Far East and Japan"
"CNDAL","Dali                               ","CN","China","08","Far East and Japan"
"CNDAN","Daan","CN","China","08","Far East and Japan"
"CNDAS","Dashihuagang                       ","CN","China","08","Far East and Japan"
"CNDAX","Daxian                             ","CN","China","08","Far East and Japan"
"CNDAY","Daya Wan","CN","China","08","Far East and Japan"
"CNDBG","Dongbang                           ","CN","China","08","Far East and Japan"
"CNDBX","Bohe","CN","China","08","Far East and Japan"
"CNDCB","Da Chan Bay                        ","CN","China","08","Far East and Japan"
"CNDCD","Dachendao                          ","CN","China","08","Far East and Japan"
"CNDCG","Ducheng                            ","CN","China","08","Far East and Japan"
"CNDDD","Dadeng I.","CN","China","08","Far East and Japan"
"CNDDG","Dandong","CN","China","08","Far East and Japan"
"CNDDK","Dadukou                            ","CN","China","08","Far East and Japan"
"CNDDP","Dandong Pt                         ","CN","China","08","Far East and Japan"
"CNDDW","Dongdaiwan","CN","China","08","Far East and Japan"
"CNDEF","Defeng                             ","CN","China","08","Far East and Japan"
"CNDEZ","Dezhou","CN","China","08","Far East and Japan"
"CNDFA","Dongfang                           ","CN","China","08","Far East and Japan"
"CNDFE","Dafeng                             ","CN","China","08","Far East and Japan"
"CNDFG","Dongfeng                           ","CN","China","08","Far East and Japan"
"CNDFN","Dongfeng                           ","CN","China","08","Far East and Japan"
"CNDGP","Dongping","CN","China","08","Far East and Japan"
"CNDGU","Donggu","CN","China","08","Far East and Japan"
"CNDGY","Dongying                           ","CN","China","08","Far East and Japan"
"CNDHD","Douhudi                            ","CN","China","08","Far East and Japan"
"CNDHP","Dahuangpu                          ","CN","China","08","Far East and Japan"
"CNDHU","Danzhou                            ","CN","China","08","Far East and Japan"
"CNDIA","Digang                             ","CN","China","08","Far East and Japan"
"CNDIZ","Dadingzi                           ","CN","China","08","Far East and Japan"
"CNDJG","Dongjiang                          ","CN","China","08","Far East and Japan"
"CNDJI","Dajing                             ","CN","China","08","Far East and Japan"
"CNDJK","Dongjiangkou","CN","China","08","Far East and Japan"
"CNDJO","Daojiao                            ","CN","China","08","Far East and Japan"
"CNDJT","Dongjiaotou","CN","China","08","Far East and Japan"
"CNDLC","Dalian","CN","China","08","Far East and Japan"
"CNDLD","Daludao","CN","China","08","Far East and Japan"
"CNDLI","Dongliu                            ","CN","China","08","Far East and Japan"
"CNDLP","Daliangang                         ","CN","China","08","Far East and Japan"
"CNDMJ","Jingan","CN","China","08","Far East and Japan"
"CNDMX","Xinhuan","CN","China","08","Far East and Japan"
"CNDMY","Damaiyu                            ","CN","China","08","Far East and Japan"
"CNDNG","Donghai                            ","CN","China","08","Far East and Japan"
"CNDNT","Dantu                              ","CN","China","08","Far East and Japan"
"CNDOO","Dongjiangkou","CN","China","08","Far East and Japan"
"CNDOP","Donglian Port                      ","CN","China","08","Far East and Japan"
"CNDOU","Doumen","CN","China","08","Far East and Japan"
"CNDOX","Dongxing","CN","China","08","Far East and Japan"
"CNDOZ","Dongzhang                          ","CN","China","08","Far East and Japan"
"CNDPG","Dapeng                             ","CN","China","08","Far East and Japan"
"CNDPN","Dongping","CN","China","08","Far East and Japan"
"CNDQD","Daqindao                           ","CN","China","08","Far East and Japan"
"CNDSA","Dasha                              ","CN","China","08","Far East and Japan"
"CNDSB","Dongsunba                          ","CN","China","08","Far East and Japan"
"CNDSG","Daishangaoting","CN","China","08","Far East and Japan"
"CNDSH","Dongsheng                          ","CN","China","08","Far East and Japan"
"CNDSI","Dongshi                            ","CN","China","08","Far East and Japan"
"CNDSN","Dongshan","CN","China","08","Far East and Japan"
"CNDSO","Dasong                             ","CN","China","08","Far East and Japan"
"CNDTU","Dantu Xian                         ","CN","China","08","Far East and Japan"
"CNDTZ","Dataizi","CN","China","08","Far East and Japan"
"CNDWN","Dawan                              ","CN","China","08","Far East and Japan"
"CNDXG","Dalianxingang","CN","China","08","Far East and Japan"
"CNDXI","Daxie                              ","CN","China","08","Far East and Japan"
"CNDXU","Daxu                               ","CN","China","08","Far East and Japan"
"CNDYG","Hehua Apt/Zhangjiajie              ","CN","China","08","Far East and Japan"
"CNDYI","Dayi                               ","CN","China","08","Far East and Japan"
"CNDYN","Dongying Pt","CN","China","08","Far East and Japan"
"CNDYW","Dalian Dayaowan                    ","CN","China","08","Far East and Japan"
"CNDZM","Danzhimatou","CN","China","08","Far East and Japan"
"CNEBA","Erba                               ","CN","China","08","Far East and Japan"
"CNECG","Echeng                             ","CN","China","08","Far East and Japan"
"CNEGN","Ergun                              ","CN","China","08","Far East and Japan"
"CNETK","Ertaokou                           ","CN","China","08","Far East and Japan"
"CNEZH","Ezhou                              ","CN","China","08","Far East and Japan"
"CNFAG","Fugang                             ","CN","China","08","Far East and Japan"
"CNFAN","Fangcheng","CN","China","08","Far East and Japan"
"CNFCE","Fengcheng                          ","CN","China","08","Far East and Japan"
"CNFCH","Fuchi                              ","CN","China","08","Far East and Japan"
"CNFDU","Fengdu                             ","CN","China","08","Far East and Japan"
"CNFGC","Fang Cheng","CN","China","08","Far East and Japan"
"CNFHP","Fenghuangjichang Pt                ","CN","China","08","Far East and Japan"
"CNFJE","Fengjie                            ","CN","China","08","Far East and Japan"
"CNFKI","Fengkai                            ","CN","China","08","Far East and Japan"
"CNFKJ","Jiangkou","CN","China","08","Far East and Japan"
"CNFLG","Fuling                             ","CN","China","08","Far East and Japan"
"CNFNG","Fuyong                             ","CN","China","08","Far East and Japan"
"CNFOC","Fuzhou","CN","China","08","Far East and Japan"
"CNFOS","Foshan","CN","China","08","Far East and Japan"
"CNFQX","Xialong","CN","China","08","Far East and Japan"
"CNFRT","Foshan new port                    ","CN","China","08","Far East and Japan"
"CNFSA","Fushan                             ","CN","China","08","Far East and Japan"
"CNFSI","Fusui                              ","CN","China","08","Far East and Japan"
