"UNLOCODE","NOMLOCALITAT","ISOPAIS","NOMPAIS","AREGEOGRAFICA","NOMAREAGEOGRAFICA"
"AOBAB","Baba                               ","AO","Angola","11","West Africa"
"AOBDD","Barra do Dande","AO","Angola","11","West Africa"
"AOBDT","Baia dos Tigres","AO","Angola","11","West Africa"
"AOBUG","Benguela","AO","Angola","11","West Africa"
"AOCAB","Cabinda","AO","Angola","11","West Africa"
"AOCPO","Capulo                             ","AO","Angola","11","West Africa"
"AOCUI","Cuio                               ","AO","Angola","11","West Africa"
"AODAL","Dalia                              ","AO","Angola","11","West Africa"
"AODGR","Dombe Grande","AO","Angola","11","West Africa"
"AOETN","Essungo Terminal                   ","AO","Angola","11","West Africa"
"AOFBY","Farta Bay                          ","AO","Angola","11","West Africa"
"AOFLT","Futila Terminal                    ","AO","Angola","11","West Africa"
"AOGIR","Girassol Terminal                  ","AO","Angola","11","West Africa"
"AOGPO","Greater Plutonio                   ","AO","Angola","11","West Africa"
"AOKOT","Kuito Terminal                     ","AO","Angola","11","West Africa"
"AOKTI","Kiame Terminal                     ","AO","Angola","11","West Africa"
"AOLAA","Landana (Cacongo)","AO","Angola","11","West Africa"
"AOLAD","Luanda","AO","Angola","11","West Africa"
"AOLBT","Lombo Terminal                     ","AO","Angola","11","West Africa"
"AOLIE","Lieura","AO","Angola","11","West Africa"
"AOLOB","Lobito","AO","Angola","11","West Africa"
"AOLUC","Lucira","AO","Angola","11","West Africa"
"AOMSZ","Namibe","AO","Angola","11","West Africa"
"AONDD","Sumbe","AO","Angola","11","West Africa"
"AONOE","Novo Redondo","AO","Angola","11","West Africa"
"AONQI","Noqui                              ","AO","Angola","11","West Africa"
"AONTO","N'Zeto (Ambrizete)                 ","AO","Angola","11","West Africa"
"AOPAT","Palanca Terminal","AO","Angola","11","West Africa"
"AOPBN","Porto Amboim","AO","Angola","11","West Africa"
"AOPLE","Porto Alexandre (Tombua)","AO","Angola","11","West Africa"
"AOPSA","Porto Saco (Portosalazar)          ","AO","Angola","11","West Africa"
"AORSN","River Sao Nicolau                  ","AO","Angola","11","West Africa"
"AOSOQ","Soyo-Quinfuquena Terminal","AO","Angola","11","West Africa"
"AOSTL","Sazaire Terminal                   ","AO","Angola","11","West Africa"
"AOSZA","Soyo","AO","Angola","11","West Africa"
"AOTAK","Takula Terminal","AO","Angola","11","West Africa"
"AQABA","Aboa","AQ","Antartica","18","South America (Atlantic)"
"AQPFS","Pt Foster                          ","AQ","Antartica","ZZ","Unknown area (Tare of empty containers)"
"ARACF","Arrecifes                          ","AR","Argentina","18","South America (Atlantic)"
"ARASO","Arroyo Seco                        ","AR","Argentina","18","South America (Atlantic)"
"ARBHI","Bahia Blanca","AR","Argentina","18","South America (Atlantic)"
"ARBQS","Barranqueras","AR","Argentina","18","South America (Atlantic)"
"ARBUE","Buenos Aires","AR","Argentina","18","South America (Atlantic)"
"ARBVC","Bella Vista                        ","AR","Argentina","18","South America (Atlantic)"
"ARCDL","Candelaria                         ","AR","Argentina","18","South America (Atlantic)"
"ARCLC","Caleta Cordoba","AR","Argentina","18","South America (Atlantic)"
"ARCMP","Campana","AR","Argentina","18","South America (Atlantic)"
"ARCNQ","Corrientes","AR","Argentina","18","South America (Atlantic)"
"ARCOL","Colon","AR","Argentina","18","South America (Atlantic)"
"ARCOU","Concepcion del Uruguay","AR","Argentina","18","South America (Atlantic)"
"ARCRD","Comodoro Rivadavia","AR","Argentina","18","South America (Atlantic)"
"ARCSA","Cabo San Antonio                   ","AR","Argentina","18","South America (Atlantic)"
"ARCUA","Cuatreros/Bahia Blanca","AR","Argentina","18","South America (Atlantic)"
"ARCVI","Caleta Olivia","AR","Argentina","18","South America (Atlantic)"
"ARDME","Diamante","AR","Argentina","18","South America (Atlantic)"
"ARDSU","Dock Sur                           ","AR","Argentina","18","South America (Atlantic)"
"ARFMA","Formosa","AR","Argentina","18","South America (Atlantic)"
"ARGHU","Gualeguaychu","AR","Argentina","18","South America (Atlantic)"
"ARIBY","Ibicuy","AR","Argentina","18","South America (Atlantic)"
"ARINW","Ingeniero White/Bahia Blanca","AR","Argentina","18","South America (Atlantic)"
"ARJLS","Jose Leon Suarez                   ","AR","Argentina","18","South America (Atlantic)"
"ARLAV","Lavalle                            ","AR","Argentina","18","South America (Atlantic)"
"ARLCU","Lujan de Cuyo                      ","AR","Argentina","18","South America (Atlantic)"
"ARLPG","La Plata","AR","Argentina","18","South America (Atlantic)"
"ARLPS","Las Palmas","AR","Argentina","18","South America (Atlantic)"
"ARLUJ","Lujan                              ","AR","Argentina","18","South America (Atlantic)"
"ARMDQ","Mar del Plata","AR","Argentina","18","South America (Atlantic)"
"ARNEC","Necochea","AR","Argentina","18","South America (Atlantic)"
"AROVI","Olavarria                          ","AR","Argentina","18","South America (Atlantic)"
"AROYA","Goya","AR","Argentina","18","South America (Atlantic)"
"AROYO","Tres Arroyos","AR","Argentina","18","South America (Atlantic)"
"ARPAL","Pto Alumbrera                      ","AR","Argentina","18","South America (Atlantic)"
