_id,NOMVAIXELL,NUMLLOYDS,TIPUSVAIXELLLLOYDS,CALLSIGN,MMSI,PAISISO,PORTREGISTREISO,TIPVAIXELL,MAXCALAT,MAXESLORA,MAXMANIGA,NUMRAMPES
1470,CASABLANCA A,9106467,Container Ship (Fully Cellular),CNA5228,242640300,MA,MATNG,17,"7,72","132,85","22,9",
1471,CASSARD,,"",7438,,FR,"",18,"6,5",139,15,
1472,CASSIOPEA,,"",GGQ5,,IT,"",18,"3,5",81,"11,8",
1473,CASSIOPEIA LEADER,9182277,Vehicles Carrier,3FDN9,431013000,JP,JPTYO,21,"10,07","199,94","32,2",3
1474,CASTAVI JET,9150975,Passenger/Ro-Ro Ship (Vehicles),EABP,224008000,ES,ESSCT,15,"3,22","59,9","17,5",1
1475,CASTILLA,,"",0600,,ES,"",18,"6,8",166,27,
1476,CASTILLO DE ARTEAGA,9871012,Chemical/Products Tanker,9HA4935,215045000,MT,MTMLA,11,"11,3","176,9","29,4",
1477,CASTILLO DE MERIDA,9742807,LNG Tanker,9HA4686,248516000,MT,MTMLA,14,"12,42","296,98","48,7",
1478,CASTILLO DE MONTERREAL,9145437,"",9HA2698,215299000,MT,MTMLA,11,"12,15","182,14","25,3",
1479,CASTILLO DE PAMBRE,9661857,Asphalt/Bitumen Tanker,9HA3312,229412000,MT,MTMLA,11,"7,6",110,"19,5",
1480,CASTILLO DE SANTISTEBAN,9433717,LNG Tanker,9HA2217,215739000,MT,MTMLA,14,"12,5","299,9","45,8",
1481,CASTILLO DE TRUJILLO,9293337,Products Tanker,9HA5195,215589000,MT,MTMLA,11,"12,15","182,14","25,3",
1482,CASTILLO DE VILLALBA,9236418,LNG Tanker,EBYS,224383000,ES,ESSCT,11,"12,31","284,37","42,5",
1483,CASTLE,9137428,"",HBLH,351847000,PA,PAPTY,12,"11,68",190,31,
1484,CASTOR,9864356,Chemical/Products Tanker,V7A2468,538008525,MH,MHMAJ,11,"13,25","183,06","32,2",
1485,CASTOR LEADER,9713894,Vehicles Carrier,3ELT9,356219000,PA,PAPTY,21,"10,62","199,99","34,8",2
1486,CAT ADVENTURE DOS,,"",EA2685,,ES,"",98,2,"24,8","",
1487,CATALINA,9256236,Crude/Oil Products Tanker,V7PN7,636022666,LR,LRMLW,11,"14,02","228,64","32,26",
1488,CATAMARN INSTALSUB,,"",LVE4,,ES,ESTAR,22,2,"11,98","5,7",
1489,CATANIA,9556832,General Cargo Ship,V2GH3,305930000,AG,AGSJO,13,"4,1","87,91","11,41",
1490,CATHERINE GRACE,9724611,Chemical/Products Tanker,V7A5777,538010226,MH,MHMAJ,11,"13,3","183,11","32,2",
1491,CATHMA,9357482,General Cargo Ship,PDVP,246522000,NL,NLDZL,13,"6,51","110,78",14,
1492,CATHRINE RICKMERS,9236523,"",A8CJ9,636090659,LR,LRMLW,17,"13,2","286,26","32,24",
1493,CATHY THERESA,9478315,Chemical/Products Tanker,OZEV2,219374000,DK,DKHER,11,"7,59","101,39","19,05",
1494,CATTLEYA ACE,9544918,Vehicles Carrier,7KKG,431573000,JP,JPTYO,21,"9,7","199,99","32,26",2
1495,CAZADORA,,"",8142,,ES,"",18,"3,8",89,"10,4",
1496,CB ADRIATIC,9851696,Chemical/Products Tanker,CQAS4,255806262,PT,PTFNC,11,"10,5","182,79",32,
