_id,NOMVAIXELL,NUMLLOYDS,TIPUSVAIXELLLLOYDS,CALLSIGN,MMSI,PAISISO,PORTREGISTREISO,TIPVAIXELL,MAXCALAT,MAXESLORA,MAXMANIGA,NUMRAMPES
1,4 ROSES,1007718,Yacht,V7JQ8,538070201,MH,MHBII,23,3,"56,5","10,26",
2,4 YOU,9564413,Yacht,V7NO9,538071090,MH,MHBII,23,"1,88",47,"8,5",
3,5 ANGELS,1010088,Yacht,ZCYL2,319011100,KY,"",23,"3,5",60,"11,1",
4,50,9842932,Tug,ORMQ,205045000,BE,BEANR,22,"3,45","24,73","12,5",
5,A,1009340,Yacht,MKOT8,,ZZ,"",23,"5,15",119,"18,87",
6,A LINE,9246920,Bulk Carrier,8PHO4,314715000,BB,BBBGI,12,"8,63","115,33","19,6",
7,A. GAUDI,7330002,"",EGDZ,224110330,ES,ESBCN,22,0,"32,21","8,08",
8,A. P. MOLLER,9214898,Container Ship (Fully Cellular),OUMQ2,219031419,DK,DKDRA,17,"14,94","346,98","42,8",
9,A+,9551454,Yacht,ZGBL4,319054000,KY,"",23,"5,7","147,25","21,5",
10,A2,1008035,Yacht,ZGBH4,319043700,KY,"",23,"2,41","47,35","8,11",
11,A2B LEADER,9113733,Container Ship (Fully Cellular),PDVC,246899000,NL,NLMOE,17,"6,54","101,09","18,2",
12,A2B PROUD,9122239,Container Ship (Fully Cellular),PEUQ,245502000,NL,NLRTM,17,"6,55","101,13","18,2",
13,AAL KOBE,9498444,General Cargo Ship,D5OJ7,636018143,LR,LRMLW,13,"11,2","193,8","28,18",
14,AAL MELBOURNE,9498456,General Cargo Ship,D5OJ8,636018144,LR,LRMLW,13,"11,2","193,83","28,2",
15,AAL PARIS,9594494,General Cargo Ship,5BVD5,209451000,CY,CYLMS,13,"10,8","179,47",28,
16,AAL SINGAPORE,9498365,General Cargo Ship,D5OJ2,636018138,LR,LRMLW,13,"11,2","193,8","28,2",
17,AALTO,1009118,Yacht,V7YZ2,538070869,MH,MHBII,23,"3,9",80,"13,8",
18,AAMIRA,9443401,LNG Tanker,V7QG2,538003354,MH,MHMAJ,14,"12,22","345,33","53,8",
19,AASNES,9101546,"General Cargo Ship, Self-discharging",LAFF6,236701000,GI,GIGIB,13,"7,16","99,88",17,
20,AASTIND,9147136,General Cargo Ship,ZDRJ9,236729000,GI,GIGIB,13,"6,85","116,58","16,5",
21,AASVIK,9433389,General Cargo Ship,CQLB,255752000,PT,PTFNC,13,"6,39","116,08","15,8",
22,AB SERENA,9434668,Chemical/Products Tanker,3EOS9,372493000,PA,PAPTY,11,"8,75","127,9","20,4",
23,ABANA,9158070,General Cargo Ship,YJWX8,577478000,VU,VUVLI,13,"7,26","121,5","15,85",
24,ABB VANESSA,9437309,General Cargo Ship,CQQS,255803280,PT,PTFNC,13,8,"139,02",21,
25,ABDULAZIZ ARAB,7923548,"",HZBI,403004000,SA,SAJED,13,"10,2","193,35","22,97",
26,ABEKO SERVER 1,,"",PFSZ,245589000,NL,NLBEV,22,4,"55,15","15,2",
27,ABEKO SERVER 2,,"",PEDD,,NL,NLBEV,22,3,"46,11","11,2",
28,ABEL MATUTES,9441130,Passenger/Ro-Ro Ship (Vehicles),ECPD,224402000,ES,ESSCT,15,"6,3","190,5",26,3
29,ABERDEEN,9313723,General Cargo Ship,9HWD9,253612000,LU,LULUX,13,"5,13","88,3","12,4",
30,ABILITY,9145645,General Cargo Ship,ELZE4,374352000,PA,PAPTY,13,"9,47","141,35","22,5",
31,ABIS ALBUFEIRA,9501708,"",PBNK,245825000,NL,NLGRQ,13,"5,35","89,9","13,6",
32,ABLIANI,9693068,Crude/Oil Products Tanker,9HA4031,256903000,MT,MTMLA,14,"14,65","249,9",44,
33,ABSALON,9284441,Frigate,OUFA,220189000,DK,"",18,"5,8",137,19,
34,ABSHERON,8721428,General Cargo Ship,5VHI6,671155100,TG,TGLFW,13,"4,13","115,75",13,
35,AC SHANGHAI,9225055,Bulk Carrier,3ESN9,353737000,PA,PAPTY,12,"14,15",225,"32,25",
36,AC-D,9428437,Chemical/Products Tanker,9HGA9,256934000,MT,MTMLA,11,"6,86","122,53","17,2",
37,ACADIA PARK,9780548,Chemical/Products Tanker,D5RN4,636018818,LR,LRMLW,11,"9,76","145,05","24,2",
38,ACAMAR,9587817,Chemical/Products Tanker,FICN,226019000,FR,FRMRS,11,"11,52",184,"27,4",
39,ACCUM,9505314,General Cargo Ship,ZDKA8,236583000,GI,GIGIB,13,"5,3","85,97","12,4",
40,ACE,1011537,Yacht,ZGBZ8,319892000,KY,"",23,"3,75",85,"13,8",
41,ACE,9191395,"",ELXO9,636011215,LR,LRMLW,14,"12,02",182,30,
42,ACEROMAR,9552082,General Cargo Ship,LXRV,253371000,LU,LULUX,13,"6,15","99,39","13,34",
43,ACHERON,,"",8371,,FR,FRTLN,18,"3,2","41,6","7,5",
44,ACONIT,,"",4149,,FR,FRBES,18,"5,9",125,"15,4",
45,ACQUAMARINA,9268631,Chemical/Products Tanker,IBJJ,247102500,IT,ITAOI,11,"8,03","136,5","20,4",
46,ACRA,9693410,Bulk Carrier,D5RZ9,636018913,LR,LRMLW,12,"14,47",229,"32,26",
47,ADA,9420693,Chemical/Products Tanker,V7ON9,538003122,MH,MHMAJ,11,"6,29","105,5","16,8",
48,ADA HARDY,,"",VJN3123,503383800,AU,"",23,2,"18,65","5,6",
49,ADALADY,9306421,General Cargo Ship,D5QT8,636018661,LR,LRMLW,13,"7,04","108,4","18,2",
50,ADALINE,9701243,Bulk Carrier,5LKD2,636022717,LR,LRMLW,12,"9,82","179,96",30,
51,ADAMAR,7614628,"",E5U3015,518100070,CK,CKAIU,13,"4,36","80,96","11,94",
52,ADAMASTOS,9879698,LNG Tanker,9HA5361,215905000,MT,MTMLA,14,"12,5","299,08","46,4",
53,ADAMS,9260914,Container Ship (Fully Cellular),D5DR5,636015952,LR,LRMLW,17,"14,02","279,7",40,
54,ADAPEARL,9539432,Bulk Carrier,D5VU2,636019711,LR,LRMLW,20,"8,79","115,33","19,6",
55,ADARA,9587829,Chemical/Products Tanker,FICS,226044000,FR,FRMRS,11,"11,52",184,"27,4",
56,ADAROSE,9392107,Bulk Carrier,D5TP8,636019247,LR,LRMLW,12,"8,79","115,33","19,6",
57,ADASUN,9306445,General Cargo Ship,D5QT9,636018662,LR,LRMLW,13,"7,04","108,28","18,2",
58,ADDICTION,1010193,Yacht,9HA4571,248233000,MT,MTMLA,23,"3,15","54,3",9,
59,ADEL.S,9155937,General Cargo Ship,JVQY7,457273000,MN,MNULN,13,"7,46","130,65","15,87",
60,ADELAIDE,9597721,Chemical/Products Tanker,9V9410,566018000,SG,SGSIN,11,"9,72",149,24,
61,ADELINE,9186704,Chemical/Products Tanker,3EXM7,353452000,PA,PAPTY,11,"8,36","145,61","19,6",
62,ADIL IBRAHIMLI,9575319,Chemical/Products Tanker,5LEV8,636093087,LR,LRMLW,11,"4,6","139,95","16,6",
63,ADILIA I,9318761,Container Ship (Fully Cellular),CQEA7,255806330,PT,PTFNC,17,"8,68","140,48","22,8",
64,ADINATH,9437634,Bulk Carrier,AWWF,419001306,IN,INBOM,12,"6,71","119,95","16,8",
65,ADIX,1000150,Yacht (Sailing),GCGR,232398000,GB,GBLON,23,"5,06",67,"8,6",
66,ADIYAMAN,9305453,Chemical/Products Tanker,TCA7182,271050683,TR,TRIST,11,"6,2","96,3","14,2",
67,ADMIRAL DE RIBAS,9106900,General Cargo Ship,T8A3308,511100209,PW,"",13,"5,45","88,77","12,8",
68,ADMIRAL GALAXY,9365843,Container Ship (Fully Cellular),D5VL9,636019647,LR,LRMLW,17,11,"182,85",28,
69,ADMIRAL STAR,9360972,Container Ship (Fully Cellular),5LEA5,636021459,LR,LRMLW,17,"7,82","125,85","21,7",
70,ADRIA ACE,9446881,Vehicles Carrier,C6XA8,311003900,BS,BSNAS,21,"8,77",176,"31,1",2
71,ADRIANO KNUTSEN,9831220,LNG Tanker,EBRY,224983000,ES,ESSCT,14,"12,52","298,97",48,
72,ADRIATA,9005376,General Cargo Ship,CQEP,255805693,PT,PTFNC,13,"6,4","104,4","16,2",
73,ADRIATIC HIGHWAY,9442885,Vehicles Carrier,7JDP,432665000,JP,JPUKB,21,"10,02","199,97","32,26",2
74,ADVANTAGE LIFE,9708564,Crude/Oil Products Tanker,V7JN4,538006075,MH,MHMAJ,14,"14,66","249,9",44,
75,ADVANTAGE PARK,9295347,Chemical/Products Tanker,V7UA5,538007536,MH,MHMAJ,11,"11,22","182,55","27,34",
76,ADVANTAGE PARTY,9327360,Chemical/Products Tanker,V7TU5,538007533,MH,MHMAJ,11,"11,22","182,55","27,34",
77,ADVANTAGE PRETTY,9314832,Chemical/Products Tanker,V7TX4,538007535,MH,MHMAJ,11,"11,22","182,55","27,34",
78,ADVANTAGE PRIDE,9314806,Chemical/Products Tanker,V7TX3,538007534,MH,MHMAJ,11,"11,22","182,55","27,34",
79,ADVENTURE,1007641,Yacht,9HA4357,249729000,MT,MTMLA,23,"3,35","49,99","9,3",
80,ADVENTURE OF THE SEAS,9167227,Passenger/Cruise,C6SA3,311263000,BS,BSNAS,16,"9,1","311,12","38,6",
81,AE NEPTUNE,9373620,Bulk Carrier,5LHL2,636022157,LR,LRMLW,12,"12,54","189,93","32,26",
82,AEGEA,9217644,Bulk Carrier,V7OX9,538006601,MH,MHMAJ,12,"13,8","224,92","32,2",
83,AEGEAN BREEZE,8202367,"",9VYJ,563187000,SG,SGSIN,21,"8,42",164,"28,04",2
84,AEGEAN MAJESTY,9102992,Passenger/Cruise,ZCEZ7,310801000,BM,BMBDA,16,"7,72","219,21","30,8",
85,AEGEAN ODYSSEY,7225910,Passenger/Cruise,HOBW,374757000,PA,PAPTY,16,"6,58","140,5","20,8",
86,AEGEAN QUEEN,6821080,"",9HA2738,215467000,MT,MTMLA,16,"6,72","160,11","22,84",
87,AEGEAN SPIRIT,9725419,Bulk Carrier,V7A4843,538009521,MH,MHMAJ,12,"10,6","179,9",30,
88,AEGEAN WAVE,9387920,Chemical/Products Tanker,VRFI4,477547300,HK,HKHKG,11,"13,17",183,"32,2",
89,AEGEAS,9315800,Chemical/Products Tanker,A8XI6,636014902,LR,LRMLW,11,"11,7","182,55","27,3",
90,AEOLIAN BREEZE,9620621,Bulk Carrier,V7A4627,538009349,MH,MHMAJ,12,"14,33","224,98","32,26",
91,AEOLUS,9088524,Container Ship (Fully Cellular),5LBD8,636020878,LR,LRMLW,17,"10,5","177,46","27,5",
92,AERO,9477036,Yacht,V7A5978,538071872,MH,MHBII,23,"1,65","39,6","7,7",
93,AETHALIA,9373230,Chemical/Products Tanker,ICGF,247237100,IT,ITPMO,11,"9,9","149,95","23,2",
94,AF MARINA,9059107,Passenger/Ro-Ro Ship (Vehicles),IBAW,247324300,IT,ITNAP,15,"5,8","167,9",22,2
95,AFIF,9732345,Container Ship (Fully Cellular),V7HM4,538005847,MH,MHMAJ,17,"15,52","368,35",51,
96,AFRICA I,9596521,Yacht,9HA4755,248702000,MT,MTMLA,23,"2,45",47,"8,5",
97,AFRICA SUN,9359105,Container Ship (Fully Cellular),J2JH,621819050,DJ,"",17,"8,51","147,85","23,25",
98,AFRICAN GOLDENEYE,9510371,Bulk Carrier,C6GD3,311001214,BS,BSNAS,12,"12,83","189,99","32,26",
99,AFRICAN SANDERLING,9403059,Bulk Carrier,C6YG6,311032100,BS,BSNAS,12,"12,83","189,99","32,26",
100,AFRICAN TEAL,9691046,Bulk Carrier,C6GD5,311001216,BS,BSNAS,12,"10,7","179,99",30,
101,AGATE,9549619,General Cargo Ship,UBZE,273333440,RU,"",13,"6,41","89,96","14,5",
102,AGAVE,,"",EVD5,,GB,GBJER,23,"1,5",26,6,
103,AGGELIKI P.,9146302,"",A8VZ9,636014698,LR,LRMLW,17,"11,5","188,1",30,
104,AGIA VALENTINA,9472701,Bulk Carrier,V7FF9,538007948,MH,MHMAJ,12,"9,72","170,7",27,
105,AGIOS DIMITRIOS,9349605,Container Ship (Fully Cellular),D5DU8,636015975,LR,LRMLW,17,"14,5","299,28",40,
106,AGIOS NEKTARIOS,9515759,Bulk Carrier,A8VQ8,636019457,LR,LRMLW,12,"12,82","189,99","32,26",
107,AGIOS NIKOLAOS,9502776,Bulk Carrier,D5XR8,636020106,LR,LRMLW,12,"10,8","179,9","28,4",
108,AGIOS NIKOLAOS IV,9464364,Chemical/Products Tanker,9HA2380,248480000,MT,MTMLA,11,"11,52","184,3","27,4",
109,AGNES,9314167,Products Tanker,T8A4152,511100929,PW,"",11,"14,22",228,"32,24",
110,AGRI KINSALE,9317456,Bulk Carrier,3FOG7,372855000,PA,PAPTY,12,"14,19",225,"32,26",
111,AGUADULCE,9977529,Yacht,ZGPA,319246100,MH,MHMAJ,23,"","40,05","7,8",
112,AH SHIN,9177430,Vehicles Carrier,3FBO9,357170000,PA,PAPTY,21,"10,07","199,9","32,2",3
113,AHMET CAN,9368182,General Cargo Ship,3EDY9,371734000,PA,PAPTY,13,"5,5","81,2","13,6",
114,AHMET TELLI,9035292,Chemical Tanker,TCA3356,271044013,TR,TRIST,11,"6,09","114,87",16,
115,AHPO,9855276,Yacht,V7A5010,538071653,MH,MHBII,23,"4,3","115,1","18,21",
116,AIAXAIA,9834090,Yacht,9A4271,238358240,HR,HRSPU,23,"2,44",46,"9,2",
117,AIDAAURA,9221566,Passenger/Cruise,IBNZ,247117400,IT,ITGOA,16,"6,2","203,2","28,1",
118,AIDABELLA,9362542,Passenger/Cruise,ICGS,247229700,IT,ITGOA,16,"7,3","251,89","32,2",
119,AIDABLU,9398888,Passenger/Cruise,IBWX,247282500,IT,ITGOA,16,"7,2","253,33","32,2",
120,AIDACOSMA,9781877,Passenger/Cruise,IBSZ,247435300,IT,ITGOA,16,"8,8",337,42,
121,AIDADIVA,9334856,Passenger/Cruise,ICDH,247187700,IT,ITGOA,16,"7,3","251,89","32,2",
122,AIDAMAR,9490052,Passenger/Cruise,ICSJ,247312900,IT,ITGOA,16,"7,3","253,22","32,2",
123,AIDANOVA,9781865,Passenger/Cruise,IBUK,247389200,IT,ITGOA,16,"8,8",337,42,
124,AIDAPERLA,9636967,Passenger/Cruise,IBRL,247385300,IT,ITGOA,16,"8,25","299,95","37,6",
125,AIDAPRIMA,9636955,Passenger/Cruise,IBGU,247353800,IT,ITGOA,16,"8,25","299,95","37,6",
126,AIDASOL,9490040,Passenger/Cruise,ICPE,247302900,IT,ITGOA,16,"7,2","253,33","32,2",
127,AIDASTELLA,9601132,Passenger/Cruise,ICUP,247322800,IT,ITGOA,16,"7,3","253,26","32,2",
128,AIDAVITA,9221554,Passenger/Cruise,CQEZ7,255919000,PT,PTFNC,16,"6,3","202,85","28,1",
129,AIFER,1010844,Yacht,ZGGG6,319109900,KY,"",23,3,"59,5","10,2",
130,AIKATERINI,9222168,Products Tanker,YCKO2,525119092,ID,IDBLW,11,"11,02",183,"27,4",
131,AIKATERINI K,9381407,General Cargo Ship,3E4043,352001310,PA,PAPTY,13,"6,82","108,1","18,2",
132,AILETTE,8104216,Anchor Handling Tug Supply,FUZB,227246000,FR,FRMRS,22,"4,5","53,01","13,01",
133,AIN SNAN EXPRESS,9525869,Container Ship (Fully Cellular),V7A4966,538009621,MH,MHMAJ,17,"15,5",366,"48,2",
134,AIN ZEFT,9265380,Chemical/Products Tanker,7TGQ,605076180,DZ,DZORN,11,"6,05","108,5","15,2",
135,AIPP GOLD,9221475,General Cargo Ship,YJXC6,577516000,VU,VUVLI,13,"6,49","100,55","18,5",
136,AIR,1011472,Yacht,9HA4843,248879000,MT,MTMLA,23,"3,6",81,"11,6",
137,AIR,8954752,Yacht,ZCTD7,319780000,KY,"",23,"2,2","49,9","8,9",
138,AIRISTO,9213727,General Cargo Ship,OJSK,230371000,FI,FITKU,13,"7,05","132,23","15,87",
139,AISHA SARWAR,9200433,Bulk Carrier,S2CP,405000130,BD,"",12,"11,71","189,33","30,95",
140,AISHAKAMILAH,9039585,Vehicles Carrier,YCHM2,525070673,ID,"",21,"5,52","108,22",20,1
141,AJOS,9145138,General Cargo Ship,YJWW9,577473000,VU,VUVLI,13,"5,27","88,47","11,35",
142,AK BEAUTY,9331804,General Cargo Ship,3E3358,352978245,PA,PAPTY,13,"7,55","113,3","16,4",
143,AK BRIGHT,9053830,General Cargo Ship,3EKH6,353249000,PA,PAPTY,13,"6,16","107,1","18,2",
144,AK BROTHERS,9053842,General Cargo Ship,3E3471,352001563,PA,PAPTY,13,"6,16","106,98","18,2",
145,AK DISCOVERY,9218208,Bulk Carrier,3FTD,355267000,PA,PAPTY,12,"6,63","107,58","18,2",
146,AK HAMZA,9338125,General Cargo Ship,3E3570,352980853,PA,PAPTY,13,"7,01","108,2","18,2",
147,AKADIMOS,9706308,Container Ship (Fully Cellular),9HA5144,215499000,MT,MTMLA,17,"14,5","299,99","48,4",
148,AKHISAR,9237149,Container Ship (Fully Cellular),5LKO4,271000653,LR,LRMLW,17,"7,47","116,7","18,4",
149,AKIJ OCEAN,9138862,Bulk Carrier,S2AE6,405000231,BD,"",12,"11,6","185,74","30,4",
150,AKNOUL,8917883,Ro-Ro Cargo Ship,C6YU5,311045500,BS,BSNAS,20,"6,16",122,19,1
151,AKRI,9520261,Chemical/Products Tanker,H9IL,370936000,PA,PAPTY,11,"6,52","104,83","16,3",
152,AKRITAS,8020599,Ro-Ro Cargo Ship,5BEC5,235006670,GB,GBLON,20,"8,47","155,02",25,1
153,AKRITAS,8703397,"",VRCJ7,477633900,HK,HKHKG,17,"11,52","249,97","32,29",
154,AKSHAY,6818710,"",9H3581,,ZZ,"",11,5,"82,3","11,98",
155,AKSON SANDRA,9537264,Bulk Carrier,3E2636,352001325,PA,PAPTY,12,"10,4","189,99","28,5",
156,AKTI,9660619,Bulk Carrier,V7A4538,538009278,MH,MHMAJ,12,"12,8",190,"32,26",
157,AL AAMRIYA,9338266,LNG Tanker,V7OJ3,538003099,MH,MHMAJ,14,"13,62",315,50,
158,AL ABDALI,9154543,"",D5MC7,636017660,LR,LRMLW,17,"12,52","276,5","32,3",
159,AL AMAL AL SAUDI,9186728,Products Tanker,HZNK,403138000,SA,SAJED,11,"8,36","145,56","19,6",
160,AL AREESH,9325697,LNG Tanker,C6VF6,311038000,BS,BSNAS,14,"13,02","288,27","43,4",
161,AL BAHIYA,9431147,LNG Tanker,V7QF5,538003349,MH,MHMAJ,14,"13,62",315,50,
162,AL BETROLEYA,9700225,Chemical/Products Tanker,V7KY4,538006239,MH,MHMAJ,11,"13,29",183,"32,2",
163,AL BIDDA,9132741,LNG Tanker,V7A5144,538009772,MH,MHMAJ,14,"11,25","297,5","45,75",
164,AL DAAYEN,9325702,LNG Tanker,C6VF7,311133000,BS,BSNAS,14,"13,02","288,27","43,41",
165,AL DHAIL,9732307,Container Ship (Fully Cellular),V7HL8,538005843,MH,MHMAJ,17,"15,52","368,35",51,
166,AL FARAHIDI,9149756,"",D5ME6,636017675,LR,LRMLW,17,"12,52","276,5","32,3",
167,AL GHASHAMIYA,9397286,LNG Tanker,V7QF9,538003353,MH,MHMAJ,14,"12,5","315,16",50,
168,AL GHUWAIRIYA,9372743,LNG Tanker,V7PU9,538003293,MH,MHMAJ,14,"13,7",345,55,
169,AL HAMLA,9337743,LNG Tanker,V7MX9,538002922,MH,MHMAJ,14,"12,5","315,16",50,
170,AL HUSSEIN,9163594,Container Ship (Fully Cellular),5VHH8,671152100,TG,TGLFW,17,"4,88","92,75","15,85",
171,AL HUWAILA,9360879,LNG Tanker,C6VG2,309255000,BS,BSNAS,14,"12,52",315,50,
172,AL JASRA,9132791,LNG Tanker,V7A5I23,538009753,MH,MHMAJ,14,"11,25","297,5","45,75",
173,AL JASRAH,9732321,Container Ship (Fully Cellular),5LIJ8,636093137,LR,LRMLW,17,"15,52",368,51,
174,AL JASSASIYA,9324435,LNG Tanker,SVCC,240615000,GR,GRPIR,11,"12,52","285,4","43,4",
175,AL JMELIYAH,9732357,Container Ship (Fully Cellular),DIFL2,211886490,DE,DEHAM,17,"15,52",368,51,
176,AL KARAANA,9431123,LNG Tanker,V7QG6,538003358,MH,MHMAJ,14,"13,62",315,50,
177,AL KHARAITIYAT,9397327,LNG Tanker,V7QF8,538003352,MH,MHMAJ,14,"12,52","315,16",50,
178,AL KHATTIYA,9431111,LNG Tanker,V7QF6,538003350,MH,MHMAJ,14,"13,62",315,50,
179,AL KHOR,9085613,LNG Tanker,V7A5124,538009754,MH,MHMAJ,14,"11,25","297,5","45,75",
180,AL KHTAM,9823534,Crude/Oil Products Tanker,5LBF9,636020895,LR,LRMLW,14,"15,35","249,79",44,
181,AL KHUWAIR,9360908,LNG Tanker,C6VM6,311000140,BS,BSNAS,14,"12,52","315,16",50,
182,AL LUSAIL,9772929,Yacht,A7HL,466443000,QA,QADOH,23,"5,5",124,20,
183,AL MAHA,9053816,LPG Tanker,T8A3535,511100397,PW,"",14,"6,62","92,42","15,3",
184,AL MANAMAH,9349538,Container Ship (Fully Cellular),D5MD7,636093140,LR,LRMLW,17,"14,5",306,40,
185,AL MARROUNA,9325685,LNG Tanker,C6VF5,311468000,BS,BSNAS,11,"13,02","288,27","43,41",
186,AL MASHRAB,9732319,Container Ship (Fully Cellular),V7HL9,538005844,MH,MHMAJ,17,"15,52",368,51,
187,AL MUBAEAKI,,"","",,QA,QADOH,22,"3,5",34,"8,6",
188,AL MURABBA,9708837,Container Ship (Fully Cellular),5LLA7,538005838,LR,LRMLW,17,"15,52","368,52",51,
189,AL NASRIYAH,9708849,Container Ship (Fully Cellular),DFGA2,211886810,DE,DEHAM,17,"15,52","368,52",51,
190,AL NUAMAN,9431135,LNG Tanker,V7QF7,538003351,MH,MHMAJ,14,"13,62",315,50,
191,AL QIBLA EXPRESS,9525924,Container Ship (Fully Cellular),5LD59,636021395,LR,LRMLW,17,"15,5","366,01","48,2",
192,AL RAIN,9152272,"",D5MD3,636017664,LR,LRMLW,17,"12,52","276,5","32,3",
193,AL RAYA,9526758,Yacht,ZCXS9,319526000,KY,"",23,"4,6","109,95","16,3",
194,AL RAYYAN,9086734,LNG Tanker,V7A5140,538009768,MH,MHMAJ,14,"11,25","297,5","45,75",
195,AL RIFFA,9525912,Container Ship (Fully Cellular),9HA2982,229005000,MT,MTMLA,17,"15,5","366,04","48,2",
196,AL RUWAIS,9337951,LNG Tanker,C6WF4,309904000,BS,BSNAS,14,"13,62",315,50,
197,AL RUWAIS,9828405,Crude/Oil Products Tanker,5LBF8,636020894,LR,LRMLW,14,"15,37","249,86",44,
198,AL SAFAT,9349497,Container Ship (Fully Cellular),D5MD9,636017670,LR,LRMLW,17,"14,5",306,40,
199,AL SAFLIYA,9337963,LNG Tanker,C6WF3,308171000,BS,BSNAS,14,"13,62",315,50,
200,AL SAHLA,9360855,LNG Tanker,V7NU4,538003019,MH,MHMAJ,14,13,"315,16",50,
201,AL SAID,9463774,Yacht,A4DE,461001000,OM,OMSOH,23,"5,5",155,23,
202,AL SHAFFIAH,9358620,Chemical/Products Tanker,HZOV,403004000,SA,SAJED,11,"9,62","146,6","23,7",
203,AL SHAMAL,9360893,LNG Tanker,C6VG4,309781000,BS,BSNAS,14,"12,52","315,16",50,
204,AL SHEEHANIYA,9360831,LNG Tanker,V7QH4,538003364,MH,MHMAJ,14,"13,62",315,50,
205,AL THAKHIRA,9298399,LNG Tanker,C6UT5,309975000,BS,BSNAS,14,"12,02","283,06","43,4",
206,AL THUMAMA,9360843,LNG Tanker,V7NU3,538003018,MH,MHMAJ,14,"12,32","315,16",50,
207,AL UDEID,9294965,General Cargo Ship,3EBB7,351866000,PA,PAPTY,13,"7,36","145,63","18,25",
208,AL UTOURIYA,9360867,LNG Tanker,V7NU5,538003020,MH,MHMAJ,14,"12,3","315,16",50,
209,AL WAJBAH,9085625,LNG Tanker,V7A5141,538009769,MH,MHMAJ,14,"11,25","297,5","45,75",
210,AL WAKRAH,9086746,LNG Tanker,V7A5142,538009770,MH,MHMAJ,14,"11,25","297,5","45,75",
211,AL ZUBARAH,9085649,LNG Tanker,V7A5139,538009767,MH,MHMAJ,14,"11,25","297,5","45,75",
212,ALACATI,9486207,Products Tanker,TCA4131,271044516,TR,TRIZM,11,"5,6",90,"15,2",
213,ALAHAN,8712154,"",TCSH9,271042974,TR,TRIST,11,"6,13","104,28","17,01",
214,ALAIYA,1013016,Yacht,ZGIU5,319165800,KY,"",23,"4,5",111,"16,85",
215,ALAMSHAR,9586215,Yacht,CRA8586,263440570,PT,"",23,"2,6","45,68","10,9",
216,ALAND,9147459,General Cargo Ship,DFTY,218802000,DE,DESTA,13,"4,82","84,8","12,6",
217,ALAND,9487380,Chemical/Products Tanker,9HA4298,249581000,MT,MTMLA,11,"6,1","99,84","15,6",
218,ALANGOVA,9411927,Chemical/Products Tanker,TCTC2,271002559,TR,TRIST,11,"7,64","125,14",20,
219,ALANIS,9468085,General Cargo Ship,V2EL6,305469000,AG,AGSJO,13,8,"138,07",21,
220,ALATEPE,9104873,Chemical Tanker,TCA3834,271044357,TR,TRIST,11,"6,34","115,5",16,
221,ALBANYBORG,9466300,General Cargo Ship,PCEY,246519000,NL,NLDZL,13,"9,69",143,"21,5",
222,ALBATROS,7304314,"",C6CN4,308784000,BS,BSNAS,16,"7,55","205,46","25,2",
223,ALBATROSS,1012464,Yacht,ZGFN9,319093200,KY,"",23,"3,8","72,2","13,25",
224,ALBATROSS TRADER,9724063,Chemical/Products Tanker,DUHO,548925000,PH,PHMNL,11,"9,7","145,5","23,7",
225,ALBERTA,9486922,Crude/Oil Products Tanker,C6YO3,311039900,BS,BSNAS,14,"14,8","228,6",42,
226,ALBIZ,9397652,General Cargo Ship,EASR,225390000,ES,ESSCT,13,"6,2","99,9","15,6",
227,ALBORAN,,"",2816,,ES,"",18,"4,4","66,5",11,
228,ALCATRES,,"",2FIA4,,GB,GBLON,23,"3,5","23,64","6,17",
229,ALDABRA,9367748,Products Tanker,V7A5819,538010261,MH,MHMAJ,11,"12,62","182,5","32,2",
230,ALDAMIZ ONCE,8216215,"Hopper, Motor",EDIC,224006520,ES,ESAVS,22,"3,4","50,3","10,01",
231,ALDEBARAN,9723007,Chemical/Products Tanker,C6BD5,311000232,BS,BSNAS,11,"10,5",183,31,
232,ALDER EXPRESS,9934163,Chemical/Products Tanker,V7A5112,538009746,MH,MHMAJ,11,"13,3","182,9","32,2",
233,ALECTO,9373278,General Cargo Ship,PHLR,244908000,NL,NLRTM,13,"5,42","88,6","12,5",
234,ALEENA 1,9583627,Bulk Carrier,V7A5438,538009995,MH,MHMAJ,12,"12,8","189,99","32,26",
235,ALESSANDRA I,8321644,"",EALN,248818000,MT,MTMLA,13,"8,33","151,1","22,97",
236,ALESSANDRA III,9802047,Yacht,6YVE7,339202000,JM,JMMBJ,23,"2,66","47,25","8,9",
237,ALESSANDRO F,9245378,Chemical/Products Tanker,IBVQ,247046400,IT,ITPMO,11,"6,42","99,67","15,4",
238,ALEXANDER,9433353,General Cargo Ship,V2ED6,305393000,AG,AGSJO,13,"6,39","116,08","15,8",
239,ALEXANDER MAERSK,9164237,Container Ship (Fully Cellular),OZRC2,219470000,DK,DKCPH,17,"9,52",155,25,
240,ALEXANDER VON HUMBOLDT II,9618446,Sail Training Ship,DDKK2,218768000,DE,DEBRV,22,5,"65,05",10,
241,ALEXANDRA,9196163,General Cargo Ship,8PAV9,314512000,BB,BBBGI,13,"7,1","133,41","15,85",
242,ALEXANDRA,9635676,Container Ship (Fully Cellular),V7ZT8,538004912,MH,MHMAJ,17,"14,5","270,07","42,8",
243,ALEXANDRA A,9356684,General Cargo Ship,9HA2886,256589000,MT,MTMLA,17,"8,25","141,5","22,6",
