Terminal ABR;Terminal;Data (any);Data (mes);Data (dia del mes);Data;Rang Data;Temps Accés Reserva;Temps Accés
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;08:00 - 08:20;;5,512966667
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;08:20 - 08:40;;6,746288889
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;08:40 - 09:00;;7,99833
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;09:00 - 09:20;;4,823523529
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;09:20 - 09:40;;7,728429412
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;09:40 - 10:00;;13,180835
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;10:00 - 10:20;;8,35666
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;10:20 - 10:40;;8,184305882
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;10:40 - 11:00;;5,942418182
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;11:00 - 11:20;;13,094672
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;11:20 - 11:40;;10,74895625
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;11:40 - 12:00;;14,61439091
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;12:00 - 12:20;;14,70191923
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;12:20 - 12:40;;18,63472083
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;12:40 - 13:00;;16,295
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;13:00 - 13:20;;24,61491053
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;13:20 - 13:40;;26,02263571
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;13:40 - 14:00;;31,0000125
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;14:00 - 14:20;;51,54167143
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;14:20 - 14:40;;54,544995
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;4;2017/01/04;14:40 - 15:00;;58,23426667
