Terminal ABR;Terminal;Data (any);Data (mes);Data (dia del mes);Data;Rang Data;Temps Accés Reserva;Temps Accés
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;07:40 - 08:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;08:00 - 08:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;08:20 - 08:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;08:40 - 09:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;09:00 - 09:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;09:20 - 09:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;09:40 - 10:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;10:00 - 10:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;10:20 - 10:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;10:40 - 11:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;11:00 - 11:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;11:20 - 11:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;11:40 - 12:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;12:00 - 12:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;12:20 - 12:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;12:40 - 13:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;13:00 - 13:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;13:20 - 13:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;13:40 - 14:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;14:00 - 14:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;14:20 - 14:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;14:40 - 15:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;15:00 - 15:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;15:20 - 15:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;15:40 - 16:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;16:00 - 16:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;16:20 - 16:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;16:40 - 17:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2016;1;1;2016/01/01;17:00 - 17:20;;
