Terminal ABR;Terminal;Any;Mes;Dia;Data;Rang_Data;Tiempo_acceso_reserva;Tiempo_acceso
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;05:40 - 06:00;;
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;06:00 - 06:20;;30,1374875
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;06:20 - 06:40;;7,15334
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;06:40 - 07:00;;8,63666
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;07:00 - 07:20;;8,88125
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;07:20 - 07:40;;10,26875
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;07:40 - 08:00;;8,512226667
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;08:00 - 08:20;;19,67035556
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;08:20 - 08:40;;6,906054546
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;08:40 - 09:00;;12,92333
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;09:00 - 09:20;;11,2395875
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;09:20 - 09:40;;7,03333
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;09:40 - 10:00;;9,189390909
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;10:00 - 10:20;;15,03595789
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;10:20 - 10:40;;13,34560526
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;10:40 - 11:00;;8,5386
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;11:00 - 11:20;;10,96944444
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;11:20 - 11:40;;10,95952857
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;11:40 - 12:00;;13,69821071
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;16:06-16:26;;14,327996
BEST;TERMINAL CATALUNYA S.A.;2017;1;2;2017/01/02;16:20 - 16:40;;12,67318696
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;05:40 - 06:00;;
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;06:00 - 06:20;;
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;06:20 - 06:40;;
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;06:40 - 07:00;;
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;07:00 - 07:20;;
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;07:20 - 07:40;;
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;07:40 - 08:00;;
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;12:20 - 12:40;;13,4666625
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;12:40 - 13:00;;23,11127647
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;13:00 - 13:20;;22,87901481
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;13:20 - 13:40;;19,67756154
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;13:40 - 14:00;;20,37143333
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;14:00 - 14:20;;28,26726071
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;14:20 - 14:40;;16,45159524
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;14:40 - 15:00;;23,349996
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;15:00 - 15:20;;14,21608966
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;15:20 - 15:40;;14,14597586
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;15:40 - 16:00;;13,88630357
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;16:00 - 16:20;;20,25967419
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;16:20 - 16:40;;19,35277222
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;16:40 - 17:00;;18,532668
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;17:00 - 17:20;;14,18797222
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;17:20 - 17:40;;13,79276087
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;17:40 - 18:00;;20,228335
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;18:00 - 18:20;;12,22647059
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;18:20 - 18:40;;18,95092778
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;18:40 - 19:00;;9,502783333
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;19:00 - 19:20;;26,90415
BEST;TERMINAL CATALUNYA S.A.;2017;1;3;2017/01/03;19:20 - 19:40;;7,116666667
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;05:40 - 06:00;;7,9278
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;06:00 - 06:20;;9,535188889
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;06:20 - 06:40;;8,659805882
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;06:40 - 07:00;;7,862226667
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;07:00 - 07:20;;6,035707143
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;07:20 - 07:40;;8,75416
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;07:40 - 08:00;;9,454545455
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;08:00 - 08:20;;8,79166
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;08:20 - 08:40;;10,23807857
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;08:40 - 09:00;;15,71764118
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;09:00 - 09:20;;15,19603333
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;09:20 - 09:40;;9,295546667
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;09:40 - 10:00;;10,80740556
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;10:00 - 10:20;;12,1546
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;10:20 - 10:40;;9,75444
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;10:40 - 11:00;;14,05334
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;11:00 - 11:20;;17,9293069
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;11:20 - 11:40;;16,83018378
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;11:40 - 12:00;;22,092668
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;12:00 - 12:20;;17,518335
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;12:20 - 12:40;;25,63334167
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;12:40 - 13:00;;17,20925556
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;13:00 - 13:20;;19,78722
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;13:20 - 13:40;;22,92888333
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;13:40 - 14:00;;20,7868
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;14:00 - 14:20;;24,41323529
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;14:20 - 14:40;;18,7591931
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;14:40 - 15:00;;21,8690619
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;15:00 - 15:20;;15,84359615
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;15:20 - 15:40;;15,45724783
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;15:40 - 16:00;;16,78631071
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;16:00 - 16:20;;12,70652174
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;16:20 - 16:40;;16,78571071
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;16:40 - 17:00;;18,31667222
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;17:00 - 17:20;;14,68889167
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;17:20 - 17:40;;14,16914444
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;17:40 - 18:00;;17,87777778
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;18:00 - 18:20;;14,37685
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;18:20 - 18:40;;14,17745882
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;18:40 - 19:00;;12,60238571
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;19:00 - 19:20;;6,1
BEST;TERMINAL CATALUNYA S.A.;2017;1;4;2017/01/04;19:20 - 19:40;;11,92271818
BEST;TERMINAL CATALUNYA S.A.;2017;1;5;2017/01/05;05:40 - 06:00;;8,895825
BEST;TERMINAL CATALUNYA S.A.;2017;1;5;2017/01/05;06:00 - 06:20;;8,977766667
BEST;TERMINAL CATALUNYA S.A.;2017;1;5;2017/01/05;06:20 - 06:40;;6,621209091
BEST;TERMINAL CATALUNYA S.A.;2017;1;5;2017/01/05;06:40 - 07:00;;8,086372727
BEST;TERMINAL CATALUNYA S.A.;2017;1;5;2017/01/05;07:00 - 07:20;;7,11945
BEST;TERMINAL CATALUNYA S.A.;2017;1;5;2017/01/05;07:20 - 07:40;;10,71556
BEST;TERMINAL CATALUNYA S.A.;2017;1;5;2017/01/05;07:40 - 08:00;;15,785
BEST;TERMINAL CATALUNYA S.A.;2017;1;5;2017/01/05;08:00 - 08:20;;15,10694167
