Terminal ABR;Terminal;Any;Mes;Dia;Data;Rang_Data;Tiempo_acceso_reserva;Tiempo_acceso
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;07:40 - 08:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;08:00 - 08:20;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;08:20 - 08:40;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;08:40 - 09:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;09:00 - 09:20;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;09:20 - 09:40;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;09:40 - 10:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;10:00 - 10:20;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;10:20 - 10:40;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;10:40 - 11:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;11:00 - 11:20;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;11:20 - 11:40;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;11:40 - 12:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;12:00 - 12:20;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;12:20 - 12:40;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;12:40 - 13:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;13:00 - 13:20;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;13:20 - 13:40;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;13:40 - 14:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;14:00 - 14:20;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;14:20 - 14:40;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;14:40 - 15:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;15:00 - 15:20;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;15:20 - 15:40;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;15:40 - 16:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;16:00 - 16:20;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;16:20 - 16:40;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;16:40 - 17:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;17:00 - 17:20;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;17:20 - 17:40;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;17:40 - 18:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;18:00 - 18:20;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;18:20 - 18:40;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;18:40 - 19:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;19:00 - 19:20;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;19:20 - 19:40;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;1;2016/01/01;19:40 - 20:00;;
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;07:40 - 08:00;;17,93518889
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;08:00 - 08:20;;15,33982778
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;08:20 - 08:40;;11,60332667
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;08:40 - 09:00;;11,90222667
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;09:00 - 09:20;;12,503335
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;09:20 - 09:40;;10,21555333
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;09:40 - 10:00;;10,93635455
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;10:00 - 10:20;;12,66609655
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;10:20 - 10:40;;18,13397308
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;10:40 - 11:00;;21,97471034
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;11:00 - 11:20;;17,57667
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;11:20 - 11:40;;14,91389
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;11:40 - 12:00;;19,08086296
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;12:00 - 12:20;;10,37644828
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;12:20 - 12:40;;17,4821
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;12:40 - 13:00;;17,62463913
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;13:00 - 13:20;;14,63526154
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;13:20 - 13:40;;10,61889
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;13:40 - 14:00;;9,910143478
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;14:00 - 14:20;;11,32802273
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;14:20 - 14:40;;12,42407778
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;14:40 - 15:00;;15,2049
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;15:00 - 15:20;;17,385
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;15:20 - 15:40;;22,172668
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;15:40 - 16:00;;15,27380357
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;16:00 - 16:20;;25,08024074
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;16:20 - 16:40;;23,03333158
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;16:40 - 17:00;;21,40833611
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;17:00 - 17:20;;17,80645484
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;17:20 - 17:40;;26,265275
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;17:40 - 18:00;;13,638668
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;18:00 - 18:20;;20,67833
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;18:20 - 18:40;;19,72777778
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;18:40 - 19:00;;14,05897692
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;19:00 - 19:20;;13,74284286
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;19:20 - 19:40;;12,55
BEST;TERMINAL CATALUNYA S.A.;2016;1;4;2016/01/04;19:40 - 20:00;;8,672233333
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;07:40 - 08:00;;15,23645
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;08:00 - 08:20;;15,31735833
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;08:20 - 08:40;;13,96273529
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;08:40 - 09:00;;10,09444444
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;09:00 - 09:20;;14,05186667
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;09:20 - 09:40;;12,63866
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;09:40 - 10:00;;12,87949231
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;10:00 - 10:20;;14,99643571
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;10:20 - 10:40;;12,32302381
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;10:40 - 11:00;;19,21052105
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;11:00 - 11:20;;12,4916625
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;11:20 - 11:40;;17,65574483
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;11:40 - 12:00;;16,67412368
BEST;TERMINAL CATALUNYA S.A.;2016;1;5;2016/01/05;12:00 - 12:20;;15,61742727
